distance,Metaphone_Name_After_Sort,Title_Name,Title_Name_After_Sort,fuzzy,Meta_Levensthein
1.648683786392212,RJTRTMS,RAJDAAR TIMES,RAJDAAR TIMES,57,4
0.8378758430480957,PTTRTMS,PATIDAR TIMES,PATIDAR TIMES,57,4
0.8363467454910278,RJTMS,RAJE TIMES,RAJE TIMES,56,3
0.83823561668396,RJMTMS,RAJIM TIMES,RAJIM TIMES,53,4
0.8603339791297913,RJFTMS,RAJEEV TIMES,RAJEEV TIMES,50,4
0.8411418199539185,RJPTTMS,THE RAJPUT TIMES,RAJPUT TIMES,50,4
0.8238260746002197,RJTTMS,RAJHAT TIMES,RAJHAT TIMES,50,3
0.8233691453933716,RJRTMS,RAJORA TIMES,RAJORA TIMES,50,4
0.8221784234046936,RTRTMS,RADAUR TIMES,RADAUR TIMES,50,3
0.853833794593811,RJRTMS,RAJOURI TIMES,RAJOURI TIMES,48,4
0.8148934841156006,RTRJTMS,RITURAJ TIMES,RITURAJ TIMES,48,4
0.878525972366333,ANTRJ,RAJ INDIA,INDIA RAJ,47,3
0.878525972366333,ANTRJ,RAJ INDIA,INDIA RAJ,47,3
0.878525972366333,ANTRJ,RAJ INDIA,INDIA RAJ,47,3
0.8144299983978271,RTMS,RAO TIMES,RAO TIMES,47,2
0.8144299983978271,RTMS,RAI TIMES,RAI TIMES,47,2
0.8727437853813171,RNTTMS,RAJNEETI TIMES,RAJNEETI TIMES,45,3
0.8577975034713745,RMTRTMS,RAJMUDRA TIMES,RAJMUDRA TIMES,45,4
0.8498308062553406,RJTNTMS,RAJDHANI TIMES,RAJDHANI TIMES,45,4
0.8498308062553406,RJTNTMS,TIMES OF RAJDHANI,RAJDHANI TIMES,45,4
0.8498308062553406,RJTNTMS,RAJDHANI TIMES,RAJDHANI TIMES,45,4
0.8317388296127319,RJPPLTMS,RAJPIPLA TIMES,RAJPIPLA TIMES,45,6
0.8279762268066406,RNXTMS,RAJNEESH TIMES,RAJNEESH TIMES,45,4
0.8221778869628906,RJNTRTMS,RAJENDRA TIMES,RAJENDRA TIMES,45,5
0.8378175497055054,RTTMS,RIDA TIMES,RIDA TIMES,44,2
0.8378175497055054,RTTMS,RADH TIMES,RADH TIMES,44,2
0.8144299983978271,RTMS,RAAH TIMES,RAAH TIMES,44,2
0.874152421951294,RJPTNTMS,RAJPUTANA TIMES,RAJPUTANA TIMES,43,5
0.874152421951294,RJPTNTMS,RAJPUTANA TIMES,RAJPUTANA TIMES,43,5
0.874152421951294,RJPTNTMS,RAJPUTANA TIMES,RAJPUTANA TIMES,43,5
0.853111207485199,RTNTRKTMS,RATNADURG TIMES,RATNADURG TIMES,43,5
0.8425355553627014,RSMNTTMS,RAJSAMAND TIMES,RAJSAMAND TIMES,43,5
0.8353124260902405,RJKRTMS,RAJYAGURU TIMES,RAJYAGURU TIMES,43,5
0.8351657390594482,RTNKRTMS,RATANGARH TIMES,RATANGARH TIMES,43,5
0.8351657390594482,RTNKRTMS,RATANGARH TIMES,RATANGARH TIMES,43,5
0.8327593803405762,RN0TMS,THE TIMES OF RAJNEETHI,RAJNEETHI TIMES,43,4
0.8248898386955261,RMNKLTMS,RAJMANGAL TIMES,RAJMANGAL TIMES,43,6
0.8170733451843262,RJSMTMS,RAJ SEEMA TIMES,RAJ SEEMA TIMES,43,5
0.8425469398498535,RJPRHTTMS,RAJPUROHIT TIMES,RAJPUROHIT TIMES,42,6
0.8378175497055054,RTTMS,RADIO TIMES,RADIO TIMES,42,2
0.8378175497055054,RTTMS,RAYAT TIMES,RAYAT TIMES,42,2
0.8339487314224243,ASKRJTN,RAJDHANI KI AWAZ,AWAZ KI RAJDHANI,42,5
0.8339487314224243,ASKRJTN,RAJDHANI KI AWAZ,AWAZ KI RAJDHANI,42,5
0.8339487314224243,ASKRJTN,RAJDHANI KI AWAZ,AWAZ KI RAJDHANI,42,5
0.8270522356033325,RTNTMS,RATAN TIMES,RATAN TIMES,42,3
0.8192708492279053,RTTMSTRNK,TRUNK ROAD TIMES,ROAD TIMES TRUNK,42,5
0.8564156293869019,RTLMTMS,RATLAM TIMES,RATLAM TIMES,40,4
0.8325532674789429,RJSRXTTMS,SRUSHTI RAJ TIMES,RAJ SRUSHTI TIMES,40,6
0.8274643421173096,RTKTMS,ROHTAK TIMES,ROHTAK TIMES,40,3
0.8622978925704956,RTNKTMS,READING TIMES,READING TIMES,38,4
0.8388800621032715,TSTRTMS,THE DAYSTAR TIMES,DAYSTAR TIMES,38,5
0.8215082883834839,RJTNRXTRTMS,RASHTRIYA RAJDHANI TIMES,RAJDHANI RASHTRIYA TIMES,38,7
0.8834412097930908,ANTRSFK,RAJSEVAK INDIA,INDIA RAJSEVAK,36,5
0.839080274105072,RTLTMS,RUDHAULI TIMES,RUDHAULI TIMES,36,3
0.825708270072937,RTRNXTMS,RUDRANSH TIMES,RUDRANSH TIMES,36,5
0.8378175497055054,RTTMS,RIGHT WAY TIMES,RIGHT TIMES WAY,35,2
0.8378175497055054,RTTMS,RTI TIMES,RTI TIMES,35,2
0.8514316082000732,RTSFTTMS,ROAD SAFETY TIMES,ROAD SAFETY TIMES,32,5
0.8378175497055054,RTTMS,RIDDHI TIMES,RIDDHI TIMES,30,2
0.8488122224807739,RTNTTMS,REDOUND TIMES,REDOUND TIMES,29,4
